ticker,quarter,call_datetime,is_after_hours,day_0_date,lm_positive,lm_negative,lm_uncertainty,lm_net_sentiment,finbert_positive,finbert_negative,finbert_net_sentiment,qa_lm_positive,qa_lm_negative,qa_lm_net_sentiment,qa_lm_uncertainty,eps_surprise_pct,eps_beat,return_1d,return_5d,implied_move,realized_move,lm_net_sentiment_qoq,lm_uncertainty_qoq,finbert_net_sentiment_qoq,qa_lm_net_sentiment_qoq,qa_lm_uncertainty_qoq,label,signal,pnl,baseline_pnl
META,2026-Q1,2026-01-28 16:00:00,True,2026-01-28,0.0072083879423328,0.0124508519003931,0.0203145478374836,-0.0052424639580602,0.2655305564403534,0.1018084362149238,0.1637221202254295,0.0072083879423328,0.0124508519003931,-0.0052424639580602,0.0203145478374836,0.08,1,0.104048022220316,0.0003888701472417,0.0210730052397345,0.104048022220316,-0.0330524291956036,0.0057143160877732,-0.1399094946682453,-0.0330524291956037,0.0057143160877733,1,1,0.0629750169805815,0.0629750169805815
MSFT,2023-Q3,2023-07-25 16:00:00,True,2023-07-25,0.0095833333333333,0.0233333333333333,0.02,-0.01375,0.4628207087516784,0.2198536545038223,0.2429670542478561,0.0095833333333333,0.0233333333333333,-0.01375,0.02,0.0559,1,-0.0376374961032594,-0.0417117770824581,0.0194887599023191,0.0376374961032594,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-0.0018512637990596992
NVDA,2023-Q1,2023-02-22 16:00:00,True,2023-02-22,0.0187121629058888,0.0093560814529444,0.0099064391854705,0.0093560814529444,0.3097289502620697,0.1910780072212219,0.1186509430408477,0.0187121629058888,0.0093560814529444,0.0093560814529444,0.0099064391854705,0.0944999999999999,1,0.1402139526163007,0.0936687384074654,0.044585598994933,0.1402139526163007,0.0,0.0,0.0,0.0,0.0,1,1,0.0756283536213677,0.0756283536213677
NVDA,2023-Q2,2023-05-24 16:00:00,True,2023-05-24,0.0099812850904553,0.008109794135995,0.014971927635683,0.0018714909544603,0.3117915391921997,0.1088624149560928,0.2029291242361068,0.0099812850904553,0.008109794135995,0.0018714909544603,0.014971927635683,0.188,1,0.2436965607260816,0.3023119679905878,0.0263998009829366,0.2436965607260816,-0.0074845904984841,0.0050654884502125,0.0842781811952591,-0.007484590498484,0.0050654884502125,1,1,0.197296759743145,0.197296759743145
NVDA,2023-Q3,2023-08-23 16:00:00,True,2023-08-23,0.0111228813559322,0.0068855932203389,0.0100635593220338,0.0042372881355932,0.3397891819477081,0.060583870857954,0.2792053110897541,0.0111228813559322,0.0068855932203389,0.0042372881355932,0.0100635593220338,0.2935,1,0.000997364264995,0.0455896510067754,0.0378961135899763,0.000997364264995,0.0023657971811329,-0.0049083683136492,0.0762761868536473,0.0023657971811328,-0.0049083683136491,0,0,0.0,-0.02
NVDA,2024-Q4,2024-11-20 16:00:00,True,2024-11-20,0.0139732685297691,0.0060753341433778,0.0127582017010935,0.0078979343863912,0.4241877794265747,0.0332806780934333,0.3909071013331413,0.0139732685297691,0.0060753341433778,0.0078979343863912,0.0127582017010935,0.0852,1,0.0053465131260988,-0.072314891186875,0.0302056825277133,0.0053465131260988,0.003660646250798,0.0026946423790596,0.1117017902433872,0.003660646250798,0.0026946423790596,0,0,0.0,-0.02
NVDA,2025-Q1,2025-02-26 16:00:00,True,2025-02-26,0.0136286201022146,0.0034071550255536,0.0102214650766609,0.0102214650766609,0.4826038479804992,0.0448199212551116,0.4377839267253876,0.0136286201022146,0.0034071550255536,0.0102214650766609,0.0102214650766609,0.0525,1,-0.0847806493109668,-0.1064899820341207,0.0560251566691786,0.0847806493109668,0.0023235306902696,-0.0025367366244325,0.0468768253922462,0.0023235306902697,-0.0025367366244325,1,1,0.008755492641788192,0.008755492641788192
NVDA,2026-Q1,2026-02-25 16:00:00,True,2026-02-25,0.012909632571996,0.003475670307845,0.0094339622641509,0.0094339622641509,0.4449804723262787,0.0783807411789894,0.3665997311472893,0.012909632571996,0.003475670307845,0.0094339622641509,0.0094339622641509,0.0532,1,-0.0545612407949546,-0.0640212504738394,0.0290577176851388,0.0545612407949546,-0.00078750281251,-0.00078750281251,-0.0711841955780983,-0.00078750281251,-0.00078750281251,0,0,0.0,0.0055035231098157986
PFE,2023-Q1,2023-01-31 06:00:00,False,2023-01-30,0.015841086245914,0.0207442796077445,0.0286648227307015,-0.0049031933618305,0.2318765968084335,0.1318158656358719,0.1000607311725616,0.015841086245914,0.0207442796077445,-0.0049031933618305,0.0286648227307015,0.094,1,0.0140067958054461,0.0048219187400717,0.0195941691560636,0.0140067958054461,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-0.02
PFE,2023-Q2,2023-05-02 06:00:00,False,2023-05-01,0.0160878063449105,0.0263118328070966,0.034430912644715,-0.0102240264621861,0.2136821001768112,0.1503563970327377,0.0633257031440734,0.0160878063449105,0.0263118328070966,-0.0102240264621861,0.034430912644715,0.2468,1,-0.0038255386477344,-0.0137722889220282,0.0120754514479182,0.0038255386477344,-0.0053208331003556,0.0057660899140134,-0.0367350280284882,-0.0053208331003556,0.0057660899140135,0,1,-0.02,-0.02
PFE,2023-Q3,2023-08-01 06:00:00,False,2023-07-31,0.0169512966476913,0.0240354206198608,0.0302340290955091,-0.0070841239721695,0.2348571866750717,0.1261277794837951,0.1087294071912765,0.0169512966476913,0.0240354206198608,-0.0070841239721695,0.0302340290955091,0.1528,1,-0.0124792034466537,-0.0105376232714245,0.0147775066608414,0.0124792034466537,0.0031399024900166,-0.0041968835492058,0.045403704047203,0.0031399024900166,-0.0041968835492059,0,0,0.0,-0.02
PFE,2023-Q4,2023-10-31 06:00:00,False,2023-10-30,0.0164785260153107,0.032308291163877,0.0299727520435967,-0.0158297651485662,0.2108592689037323,0.171324998140335,0.0395342707633972,0.0164785260153107,0.032308291163877,-0.0158297651485662,0.0299727520435967,0.4996,1,0.0003273110827194,0.0206217695325871,0.0222004974202988,0.0003273110827194,-0.0087456411763967,-0.0002612770519123,-0.0691951364278792,-0.0087456411763967,-0.0002612770519124,0,0,0.0,-0.02
