ticker,quarter,call_datetime,is_after_hours,day_0_date,lm_positive,lm_negative,lm_uncertainty,lm_net_sentiment,finbert_positive,finbert_negative,finbert_net_sentiment,qa_lm_positive,qa_lm_negative,qa_lm_net_sentiment,qa_lm_uncertainty,eps_surprise_pct,eps_beat,return_1d,return_5d,implied_move,realized_move,lm_net_sentiment_qoq,lm_uncertainty_qoq,finbert_net_sentiment_qoq,qa_lm_net_sentiment_qoq,qa_lm_uncertainty_qoq,label
META,2025-Q1,2025-01-29 16:00:00,True,2025-01-29,0.0083226632522407,0.0115236875800256,0.0204865556978233,-0.0032010243277848,0.2674032747745514,0.1077463924884796,0.1596568822860717,0.008322663252240717,0.011523687580025609,-0.0032010243277848915,0.020486555697823303,0.1867,1,0.015536101861346532,0.04195176876836617,0.023203127653492122,0.015536101861346532,0.0017954067928433004,-0.0009267205334399994,-0.024028129875659998,0.0017954067928432314,-0.0009267205334400792,0
META,2025-Q2,2025-04-30 16:00:00,True,2025-04-30,0.0065502183406113,0.0109170305676855,0.0232896652110625,-0.0043668122270742,0.2468159347772598,0.1161622181534767,0.1306537166237831,0.006550218340611353,0.010917030567685589,-0.004366812227074236,0.023289665211062592,0.2311,1,0.04227698472628209,0.08708563026822935,0.05181394214296204,0.04227698472628209,-0.0011657878992894,0.002803109513239199,-0.029003165662288583,-0.001165787899289344,0.0028031095132392894,0
META,2025-Q4,2026-01-28 16:00:00,True,2026-01-28,0.0391657010428736,0.0113557358053302,0.0146002317497103,0.0278099652375434,0.3506474792957306,0.0470158644020557,0.3036316148936748,0.039165701042873695,0.011355735805330244,0.02780996523754345,0.014600231749710313,0.08,1,0.10404802222031609,0.0003888701472417487,0.02107300523973453,0.10404802222031609,0.0321767774646176,-0.008689433461352198,0.17297789826989168,0.03217677746461768,-0.00868943346135228,1
META,2026-Q1,2026-01-28 16:00:00,True,2026-01-28,0.0072083879423328,0.0124508519003931,0.0203145478374836,-0.0052424639580602,0.2655305564403534,0.1018084362149238,0.1637221202254295,0.007208387942332897,0.012450851900393184,-0.0052424639580602875,0.020314547837483616,0.08,1,0.10404802222031609,0.0003888701472417487,0.02107300523973453,0.10404802222031609,-0.0330524291956036,0.005714316087773298,-0.1399094946682453,-0.033052429195603736,0.005714316087773303,1
MSFT,2023-Q3,2023-07-25 16:00:00,True,2023-07-25,0.0095833333333333,0.0233333333333333,0.02,-0.01375,0.4628207087516784,0.2198536545038223,0.2429670542478561,0.009583333333333333,0.023333333333333334,-0.013750000000000002,0.02,0.0559,1,-0.03763750278877895,-0.0417116956770729,0.01948878070524604,0.03763750278877895,0.0,0.0,0.0,0.0,0.0,0
NVDA,2023-Q1,2023-02-22 16:00:00,True,2023-02-22,0.0187121629058888,0.0093560814529444,0.0099064391854705,0.0093560814529444,0.3097289502620697,0.1910780072212219,0.1186509430408477,0.018712162905888827,0.009356081452944413,0.009356081452944413,0.009906439185470555,0.0944999999999999,1,0.1402139526163007,0.09366873840746547,0.04458559899493303,0.1402139526163007,0.0,0.0,0.0,0.0,0.0,1
NVDA,2023-Q2,2023-05-24 16:00:00,True,2023-05-24,0.0099812850904553,0.008109794135995,0.014971927635683,0.0018714909544603,0.3117915391921997,0.1088624149560928,0.2029291242361068,0.009981285090455396,0.008109794135995009,0.0018714909544603874,0.014971927635683094,0.188,1,0.24369656072608165,0.3023119679905878,0.02639980098293662,0.24369656072608165,-0.0074845904984841,0.005065488450212501,0.0842781811952591,-0.007484590498484026,0.005065488450212539,1
NVDA,2023-Q3,2023-08-23 16:00:00,True,2023-08-23,0.0111228813559322,0.0068855932203389,0.0100635593220338,0.0042372881355932,0.3397891819477081,0.060583870857954,0.2792053110897541,0.011122881355932203,0.006885593220338983,0.00423728813559322,0.010063559322033898,0.2935,1,0.0009973642649950423,0.04558965100677543,0.037896113589976334,0.0009973642649950423,0.0023657971811329006,-0.0049083683136492,0.07627618685364732,0.002365797181132833,-0.004908368313649197,0
NVDA,2024-Q4,2024-11-20 16:00:00,True,2024-11-20,0.0139732685297691,0.0060753341433778,0.0127582017010935,0.0078979343863912,0.4241877794265747,0.0332806780934333,0.3909071013331413,0.013973268529769137,0.006075334143377886,0.007897934386391251,0.01275820170109356,0.0852,1,0.005346513126098838,-0.07231489118687506,0.03020568252771337,0.005346513126098838,0.0036606462507980005,0.002694642379059699,0.11170179024338722,0.003660646250798031,0.0026946423790596627,0
NVDA,2025-Q1,2025-02-26 16:00:00,True,2025-02-26,0.0136286201022146,0.0034071550255536,0.0102214650766609,0.0102214650766609,0.4826038479804992,0.0448199212551116,0.4377839267253876,0.013628620102214651,0.0034071550255536627,0.010221465076660989,0.010221465076660987,0.0525,1,-0.0847806493109668,-0.10648998203412076,0.0560251566691786,0.0847806493109668,0.0023235306902696998,-0.002536736624432599,0.046876825392246246,0.002323530690269738,-0.002536736624432573,1
